Label,Authors,Abstract,,
Afanasyev,"Afanasyev A., Halderman J.A., Ruoti S., Seamons K., Yu Y., Zappala D., Zhang L.","The World Wide Web has become the most common platform for building applications and delivering content. Yet despite years of research, the web continues to face severe security challenges related to data integrity and confidentiality. Rather than continuing the exploit-and-patch cycle, we propose addressing these challenges at an architectural level, by supplementing the web's existing connection-based and server-based security models with a new approach: contentbased security. With this approach, content is directly signed and encrypted at rest, enabling it to be delivered via any path and then validated by the browser. We explore how this new architectural approach can be applied to the web and analyze its security benefits. We then discuss a broad research agenda to realize this vision and the challenges that must be overcome. 2016 ACM.",,
Afanasyev,"Zhang Y., Afanasyev A., Burke J., Zhang L.","The initial Named Data Networking (NDN) architecture design provided consumer mobility support automatically, taking advantage of NDN's stateful forwarding plane to return data to mobile consumers; at the same time, the support of data producer mobility was left unspecified. During the past few years, a number of NDN producer mobility support schemes have been proposed. This paper provides a clear definition of NDN mobility support, to enable fetching of data produced by mobile users, and then to classify the proposed solutions by their commonalities and to articulate design tradeoffs of different approaches. We identify remaining challenges and discuss future research directions for effective and efficient data producer mobility support in NDN. 2016 IEEE.",,
Afanasyev,"Shang W., Bannis A., Liang T., Wang Z., Yu Y., Afanasyev A., Thompson J., Burke J., Zhang B., Zhang L.","The Internet of Things (IoT) is a vision for interconnecting all of the world's ""things""-from vehicles to diet scales, smart homes and electrical grids-through a common set of networking technologies. Realizing this vision using a host-to-host communication paradigm, such as that of the Internet Protocol (IP), is challenging in the context of highly heterogeneous, constrained devices that connect intermittently to one or more networks, often using multiple interfaces; communicate within various security regimes; and require both local and global communication capability. Using IP and similar protocols as the narrow waist of interoperability for IoT requires managing data exchange and security in terms that are largely orthogonal to application semantics, while simultaneously needing to minimize resource usage. This paper explores how Named Data Networking (NDN), a proposed future Internet architecture, addresses the root causes of these challenges and can help achieve the IoT vision in a more secure, straightforward, and innovationfriendly manner. NDN's data-centric communication model aligns network and application semantics, enabling developers to work with ""things"" and their data directly, and for IoT networks to be deployed and configured easily. To substantiate the high-level discussion, we give examples of ongoing design and implementation work in IoT over NDN and compare the architecture to wellknown existing protocols and frameworks. Finally, we discuss short- and long-term scenarios for employing NDN to enable the Internet of Things. 2016 IEEE.",,
Afanasyev,"Shang W., Afanasyev A., Zhang L.","The Named Data Networking (NDN) architecture has been proposed as a promising solution for supporting communications in IoT environments. An important class of IoT platform is the constrained devices that have limited computing resources and are connected by constrained networks. This paper presents the design and implementation of the NDN protocol stack for RIOT-OS, a popular operating system for constrained IoT platforms. We succeeded in integrating the core NDN packet forwarding logic into the RIOT-OS kernel together with a high-level application interface with data security support. Our results demonstrated the feasibility of using NDN protocol stack to support applications on constrained devices with only 10s of KB of RAM and flash memory. 2016 IEEE.",,
Afanasyev,"Afanasyev A., Yu Y., Zhang L., Burke J., Claffy K., Polterock J.","This report is a brief summary of the second NDN Community Meeting held at UCLA in Los Angeles, California on September 28-29, 2015. The meeting provided a platform for the attendees from 49 institutions across 13 countries to exchange their recent NDN research and development results, to debate existing and proposed functionality in NDN forwarding, routing, and security, and to provide feedback to the NDN architecture design evolution.",,
Afanasyev,"Afanasyev A., Zhu Z., Yu Y., Wang L., Zhang L.","Information sharing among a group of friends or colleagues in real life is usually a distributed process: we tell each other interesting or important news without any mandatory assistance or approval from a third party. Surprisingly, this is not what happens when sharing files among a group of friends over the Internet. While the goal of file sharing is to disseminate files among multiple parties, due to the constraints imposed by IP's point-to-point communication model, most of today's file sharing applications, such as Drop box, Google Drive, etc., resort to a centralized design paradigm: a user first uploads files to the server (cloud), and the server (cloud) re-distributes these files to other users, resulting in unnecessary tussles and inefficient data distribution paths. To bring the truly distributed file sharing back into the cyberspace, this paper presents Chrono Share, a distributed file sharing application built on top of the Named Data Networking (NDN) architecture. By walking through Chrono Share design details, we show how file sharing, as well as many other similar applications, can be effectively implemented over NDN in a truly distributed and secure manner. 2015 IEEE.",,
Afanasyev,"Yu Y., Afanasyev A., Clark D., Claffy K., Jacobson V., Zhang L.","Securing communication in network applications involves many complex tasks that can be daunting even for security experts. The Named Data Networking (NDN) architecture builds data authentication into the network layer by requiring all applications to sign and authenticate every data packet. To make this authentication usable, the decision about which keys can sign which data and the procedure of signature verification need to be automated. This paper explores the ability of NDN to enable such automation through the use of trust schemas. Trust schemas can provide data consumers an automatic way to discover which keys to use to authenticate individual data packets, and provide data producers an automatic decision process about which keys to use to sign data packets and, if keys are missing, how to create keys while ensuring that they are used only within a narrowly defined scope (""the least privilege principle""). We have developed a set of trust schemas for several prototype NDN applications with different trust models of varying complexity. Our experience suggests that this approach has the potential of being generally applicable to a wide range of NDN applications. 2015 ACM.",,
Afanasyev,"Abraham H.B., Afanasyev A., Yu Y., Zhang L., DiBenedetto S., Thompson J., Burke J.","This full day tutorial on synchronization and security in Named Data Networking (NDN) will share important architectural concepts we are exploring in these areas, the software we have built to perform these tasks, and remaining open issues. In particular, it will emphasize how the existing open source toolset provides a platform for exploring the open research questions. 2015 ACM.",,
Afanasyev,"Shi W., Afanasyev A.","Named Data Networking (NDN) is proposed to embrace the increasing demands of data-sharing and content dissemination. This paper proposes a distributed synchronization model, RepoSync, to provide accurate and efficient content synchronization. RepoSync adopts a combination of action-based and data-based synchronization, where actions are used to record the modifications of datasets, so as to instruct the sync process. Moreover, snapshot is introduced as data-based synchronization to provide the copy of dataset, handling the synchronization of large scale modifications. Simulations reveal that RepoSync can provide a promising performance of synchronization under various network conditions. 2015 IEEE.",,
Afanasyev,"Afanasyev A., Yi C., Wang L., Zhang B., Zhang L.","Named Data Networking (NDN) is a proposed information-centric design for the future Internet architecture, where application names are directly used to route requests for data. This key component of the architecture raises concerns about scalability of the forwarding system in NDN network, i.e., how to keep the routing table sizes under control given unbounded nature of application data namespaces. In this paper we apply a well-known concept of Map-and-Encap to provide a simple and secure namespace mapping solution to the scalability problem. More specifically, whenever necessary, application data names can be mapped to a set of globally routable names that are used to retrieve the data. By including such sets in data requests, we are informing (more precisely, hinting) the forwarding system of the whereabouts of the requested data, and such hints can be used when routers do not know from where to retrieve the data using application data names alone. This solution enables NDN forwarding to scale with the Internet's well-understood routing protocols and operational practice, while keeping all the benefits of the new NDN architecture. 2015 IEEE.",,
Afanasyev,"Claffy K.C., Polterock J., Afanasyev A., Burke J., Zhang L.","This report is a brief summary of the first NDN Community Meeting held at UCLA in Los Angeles, California on September 4-5, 2014. The meeting provided a platform for the attendees from 39 institutions across seven countries to exchange their recent NDN research and development results, to debate existing and proposed functionality in security support, and to provide feedback into the NDN architecture design evolution. 2015, Association for Computing Machinery. All rights reserved.",,
Afanasyev,"Pournaghshband V., Afanasyev A., Reiher P.","Routers or nodes on the Internet sometimes apply link-layer or IP-level compression on traffic flows with no knowledge of the end-hosts. If the end-host applications are aware of the compression already provided by an intermediary, they can save time and resources by not applying compression themselves. The benefits from these savings are even greater in mobile applications. We present a probing technique to detect the compression of traffic flows by intermediaries. Our technique is non-intrusive and robust to cross traffic. It is entirely end-to-end, requiring neither changes to nor information from intermediate nodes. We present two different but similar approaches based on how cooperative the end-hosts are. Our proposed technique only uses packet inter-arrival times for detection. It does not require synchronized clocks at the sender and receiver. Simulations and Internet experiments were used to evaluate our approach. Our findings demonstrate an accurate detection of compression applied to traffic flows by intermediaries. 2014 IEEE.",,
Afanasyev,"Yi C., Abraham J., Afanasyev A., Wang L., Zhang B., Zhang L.","A unique feature of Named Data Networking (NDN) is that its forwarding plane can detect and recover from network faults on its own, enabling each NDN router to handle network failures locally without relying on global routing convergence. This new feature prompts us to re-examine the role of routing in an NDN network: does it still need a routing protocol? If so, what impact may an intelligent forwarding plane have on the design and operation of NDN routing protocols? Through analysis and extensive simulations, we show that routing protocols remain highly beneficial in an NDN network. Routing disseminates initial topology and policy information as well as long-term changes in them, and computes the routing table to guide the forwarding process. However, because the forwarding plane is capable of detecting and recovering from failures quickly, routing no longer needs to handle short-term churns in the network. Freeing routing protocols from short-term churns can greatly improve their scalability and stability, enabling NDN to use routing protocols that were previously viewed as unsuitable for real networks.",,
Afanasyev,"Tikhomirov A., Afanasyev A., Kinash N., Trufanov A., Berestneva O., Rossodivita A., Gnatyuk S., Umerov R.","Abstract. An innovative approach for analysis of “network society” with its large- scale and multicomponent features has been proposed. A new network model - a model of so-called aggregate networks has been developed as a key tool for such analysis. These aggregate structures topologically are not identical in their global and local scales, and thus distinguished from canonical large-scale networks. It was elicited that aggregate network entities have significant features in their topological vulnerability in comparison with canonical ones. This is crucial for building resilient constructions of the network society. Also some additional distinctions for the concepts of “network” and “graph” have been formulated. Springer International Publishing Switzerland 2014.",,
Afanasyev,"Zhang L., Afanasyev A., Burke J., Jacobson V., Claffy K.C., Crowley P., Papadopoulos C., Wang L., Zhang B.","Named Data Networking (NDN) is one of five projects funded by the U.S. National Science Foundation under its Future Internet Architecture Program. NDN has its roots in an earlier project, Content-Centric Networking (CCN), which Van Jacobson first publicly presented in 2006.1 The NDN project investigates Jacobson's proposed evolution from today's host-centric network architecture (IP) to a data-centric network architecture (NDN). This conceptually simple shift has far-reaching implications for how we design, develop, deploy, and use networks and applications. We describe the motivation and vision of this new architecture, and its basic components and operations. We also provide a snapshot of its current design, development status, and research challenges. More information about the project, including prototype implementations, publications, and annual reports, is available on named-data.net.",,
Afanasyev,"Afanasyev A., Mahadevan P., Moiseenko I., Uzun E., Zhang L.","Distributed Denial of Service (DDoS) attacks are an ongoing problem in today's Internet, where packets from a large number of compromised hosts thwart the paths to the victim site and/or overload the victim machines. In a newly proposed future Internet architecture, Named Data Networking (NDN), end users request desired data by sending Interest packets, and the network delivers Data packets upon request only, effectively eliminating many existing DDoS attacks. However, an NDN network can be subject to a new type of DDoS attack, namely Interest packet flooding. In this paper we investigate effective solutions to mitigate Interest flooding. We show that NDN's inherent properties of storing per packet state on each router and maintaining flow balance (i.e., one Interest packet retrieves at most one Data packet) provides the basis for effective DDoS mitigation algorithms. Our evaluation through simulations shows that the solution can quickly and effectively respond and mitigate Interest flooding. 2013 IFIP.",,
Afanasyev,"Yi C., Afanasyev A., Moiseenko I., Wang L., Zhang B., Zhang L.","In Named Data Networking (NDN), packets carry data names instead of source and destination addresses. This paradigm shift leads to a new network forwarding plane: data consumers send Interest packets to request desired data, routers forward Interest packets and maintain the state of all pending Interests, which is then used to guide Data packets back to the consumers. Maintaining the pending Interest state, together with the two-way Interest and Data exchange, enables NDN routers' forwarding process to measure performance of different paths, quickly detect failures and retry alternative paths. In this paper we describe an initial design of NDN's forwarding plane and evaluate its data delivery performance under adverse conditions. Our results show that this stateful forwarding plane can successfully circumvent prefix hijackers, avoid failed links, and utilize multiple paths to mitigate congestion. We also compare NDN's performance with that of IP-based solutions to highlight the advantages of a stateful forwarding plane. 2013 Elsevier B.V. All rights reserved.",,
Afanasyev,"Zhu Z., Afanasyev A.","In supporting many distributed applications, such as group text messaging, file sharing, and joint editing, a basic requirement is the efficient and robust synchronization of knowledge about the dataset such as text messages, changes to the shared folder, or document edits. We propose ChronoSync protocol, which exploits the features of the Named Data Networking architecture to efficiently synchronize the state of a dataset among a distributed group of users. Using appropriate naming rules, ChronoSync summarizes the state of a dataset in a condensed cryptographic digest form and exchange it among the distributed parties. Differences of the dataset can be inferred from the digests and disseminated efficiently to all parties. With the complete and up-to-date knowledge of the dataset changes, applications can decide whether or when to fetch which pieces of the data. We implemented ChronoSync as a C++ library and developed two distributed application prototypes based on it. We show through simulations that ChronoSync is effective and efficient in synchronization dataset state, and is robust against packet losses and network partitions. 2013 IEEE.",,
Afanasyev,"Pournaghshband V., Kleinrock L., Reiher P., Afanasyev A.","Edge network operators have limited tools to control activities on their networks. This paper examines network dissuasion, a new approach to edge network control, based on controlling the fundamental parameters of the network, such as loss rate, delay, and jitter, with the intention of making particular uses of a network intolerable, while providing acceptable services for approved network uses. We investigate using this technique to prevent use of Voice Over IP (VoIP), while allowing other services. We designed network controls to achieve this goal and performed experiments using both measurements and subjective testing with human beings. We report on the degree of success and discuss the general promise of network dissuasion. 2012 IEEE.",,
Afanasyev,"Wang L., Afanasyev A., Kuntz R., Vuyyuru R., Wakikawa R., Zhang L.","This paper applies the Named Data Networking (NDN) concept to vehicle-to-vehicle (V2V) communications. Specifically, we develop a simple traffic information dissemination application based on the data naming design from our previous work and evaluate its performance through simulations. Our simulation results show that data names can greatly facilitate the forwarding process for Interest and data packets. With adequate vehicle density, data can propagate over long distances robustly at tens of kilometers per second, and a requester can retrieve the desired traffic information 10km away in a matter of seconds. 2012 ACM.",,
Afanasyev,"Yi C., Afanasyev A., Wang L., Zhang B., Zhang L.","In Named Data Networking (NDN) architecture, packets carry data names rather than source or destination addresses. This change of paradigm leads to a new data plane: data consumers send out Interest packets, routers forward them and maintain the state of pending Interests, which is used to guide Data packets back to the consumers. NDN routers' forwarding process is able to detect network problems by observing the two-way traffic of Interest and Data packets, and explore multiple alternative paths without loops. This is in sharp contrast to today's IP forwarding process which follows a single path chosen by the routing process, with no adaptability of its own. In this paper we outline the design of NDN's adaptive forwarding, articulate its potential benefits, and identify open research issues.",,
Afanasyev,"Kline E., Afanasyev A., Reiher P.","Denial-of-service (DoS) attacks continue to be a major problem on the Internet. While many defense mechanisms have been created, they all have significant deployment issues. This paper introduces a novel method that overcomes these issues, allowing a small number of deployed DoS defenses to act as secure on-demand shields for any node on the Internet. The proposed method is based on rerouting any packet addressed to a protected autonomous system (AS) through an intermediate filtering node - a shield. In this way, all potentially harmful traffic could be discarded before reaching the destination. The mechanisms for packet rerouting use existing routing techniques and do not require any kind of modification to the deployed protocols or routers. To make the proposed system feasible, from both deployment and usage points of view, traffic rerouting and outsourced filtering could be provided as an insurance-style on-demand service. 2011 IEEE.",,
Afanasyev,"Afanasyev A., Wang J., Peng C., Zhang L.","This paper tries to estimate redundancy level on the Web by employing information collected from existent search engines. To make measurements feasible, a representative set of Internet sites was collected using a random sampling of the Internet catalogs DMOZ and Delicious. Each page in the set was identified using a random 32-word phrase extracted from the content of the page. These phrases were used to perform search engine queries and infer the number of pages with the same content. Though the presented method is far from being perfectly accurate, it provides an approximation of a lower-bound for visible redundancy of the web-long phrases will likely belong to duplicate pages, and only the pages indexed by search engines are really visible to users. Obtained results showed a surprisingly low level of duplication averaged over all content types, with less then ten duplicates for most of the pages. This indicates that besides well-known classes of high-redundant content (news, mailing list archives, etc.), content duplication and plagiarism are not globally widespread across all types of webpages. 2011 ACM.",,
Afanasyev,"Afanasyev A., Tilley N., Reiher P., Kleinrock L.","The Transmission Control Protocol (TCP) carries most Internet traffic, so performance of the Internet depends to a great extent on how well TCP works. Performance characteristics of a particular version of TCP are defined by the congestion control algorithm it employs. This paper presents a survey of various congestion control proposals that preserve the original host-to-host idea of TCPnamely, that neither sender nor receiver relies on any explicit notification from the network. The proposed solutions focus on a variety of problems, starting with the basic problem of eliminating the phenomenon of congestion collapse, and also include the problems of effectively using the available network resources in different types of environments (wired, wireless, high-speed, long-delay, etc.). In a shared, highly distributed, and heterogeneous environment such as the Internet, effective network use depends not only on how well a single TCP-based application can utilize the network capacity, but also on how well it cooperates with other applications transmitting data through the same network. Our survey shows that over the last 20 years many host-to-host techniques have been developed that address several problems with different levels of reliability and precision. There have been enhancements allowing senders to detect fast packet losses and route changes. Other techniques have the ability to estimate the loss rate, the bottleneck buffer size, and level of congestion. The survey describes each congestion control alternative, its strengths and its weaknesses. Additionally, techniques that are in common use or available for testing are described. 2005 IEEE.",,
Bobadilla,"Inyim P., Batouli M., Reyes M.P., Carmenate T., Bobadilla L., Mostafavi A.","Occupant behavior is a significant contributor to energy waste in buildings. This research introduces an advanced smartphone application, developed based on the theoretical underpinnings of situational awareness theory, to effectively implement multi-method and personalized intervention to encourage energy conservation behaviors of building occupants. The new smart application provides several innovative features, such as energy saving points, customized feedback, and visualized user interface, which are implemented in the application to support multi-method interventions. The application was created using the Java language for Android devices. With the use of the Android platform, the app takes advantage of hardware technology from the user's mobile device. Measurement of occupancy behavior is accomplished by making use of the device's positional sensors. Orientation and geomagnetic field sensors serve to provide an accurate location of an occupant inside the building. The application can determine energy waste in a zone by using occupancy behavior. Moreover, the application offers real-time and projected future energy consumption based on occupants' behaviors. This novel feature can significantly improve communication that can lead to prompt action for building energy reduction. Results show how the app can compile raw data on energy behavior and make it easy to understand for the user through the use of visuals and statistical algorithms. 2018 by the authors.",,
Bobadilla,"Alam T., Reis G.M., Bobadilla L., Smith R.N.","Processes of scientific interest in the aquatic environment occur across multiple spatio-temporal time scales. To properly assess and understand these processes, we must observe aquatic ecosystems over long time periods. This requires examination of the problem of deploying multiple, inexpensive, and minimally-actuated drifting vehicles. We aim to utilize these persistent assets to explore all locations on the water surface, and examine the entirety an underwater environment through the visibility of downward-facing cameras. In this work, we propose a data-driven approach for the deployment of drifters that creates a stochastic model, finds the generalized flow pattern of the water, and studies the long-term behavior of an aquatic environment from a flow point-of-view. Given the long-term behavior of the environment, our approach finds attractors and their transient groups as the domains of attractions. We then determine a minimum number of deployment locations for the drifters using these attractors and their transient groups. Our simulation results based on actual ocean model prediction data demonstrate the applicability of our approach. 2018 IEEE.",,
Bobadilla,"Zanlongo S., Abodo F., Long P., Padir T., Bobadilla L.","There is a growing need for robots to perform complex tasks autonomously. However, there remain certain tasks that cannot - or should not - be completely automated. While these tasks may require one or several operators, we can oftentimes schedule when an operator should assist. We build on our previous work to present a methodology for allocating operator attention across multiple robots while attempting to minimize the execution time of the robots involved. In this paper, we: 1) Analyze of the complexity of this problem, 2) Provide a scalable methodology for designing robot policies so that few operators can oversee many robots, 3) Describe a methodology for designing both policies and robot trajectories to permit operators to assist many robots, and 4) Present simulation and hardware experiments demonstrating our methodologies. 2018 IEEE.",,
